This is the complete list of games supported by MAME GCW0 1.1 (based on 0.37b5) (Dec 23 2013)

The list is generated automatically and is not 100% accurate, particularly in
the "Screen Flip" column. Please let us know of any errors you find so we can
correct them.

The meanings of the columns are as follows:
Working - "No" means that the emulation has shortcomings that cause the game
  not to work correctly. This can be anywhere from just showing a black screen
  to being playable with major problems.
Correct Colors - "Yes" means that colors should be identical to the original,
  "Close" that they are very similar but wrong in places, "No" that they are
  completely wrong. In some cases, we were not able to find the color PROMs of
  the game. Those PROMs will be reported as "NO GOOD DUMP KNOWN" on startup,
  and the game will have wrong colors. The game is still reported as "Yes" in
  this column, because the code to handle the color PROMs is in the driver and
  if you provide them colors will be correct.
Sound - "Partial" means that sound support is either incomplete or not entirely
  accurate. Note that, due to analog circuitry which is difficult to emulate,
  sound may be significantly different from the real board. A common case is
  the presence of low pass filters that make the real board sound less harsh
  than the emulation.
Screen Flip - A large number of games have a dip switch setting for "Cocktail"
  cabinet, meaning that the players sit in front of each other, and the screen
  is flipped when player 2 is playing. Some games also have a "Flip Screen" dip
  switch. Those need special support in the driver, which is missing in many
  cases.
Internal Name - This is the unique name that should be specified on the command
  line to run the game. ROMs must be placed in the ROM path, either in a .zip
  file or in a subdirectory of the same name. The former is suggested, because
  the files will be identified by their CRC instead of requiring specific
  names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Mega Zone (Kosuka)               |  Yes  |  Yes  |  Yes  |  Yes  | megaznik |
| Pandora's Palace                 |  Yes  |  Yes  |  Yes  |  Yes  | pandoras |
| Gyruss (Konami)                  |  Yes  |  Yes  |  Yes  |  Yes  | gyruss   |
| Gyruss (Centuri)                 |  Yes  |  Yes  |  Yes  |  Yes  | gyrussce |
| Venus                            |  Yes  |  Yes  |  Yes  |  Yes  | venus    |
| Track & Field                    |  Yes  |  Yes  |  Yes  |  Yes  | trackfld |
| Track & Field (Centuri)          |  Yes  |  Yes  |  Yes  |  Yes  | trackflc |
| Hyper Olympic                    |  Yes  |  Yes  |  Yes  |  Yes  | hyprolym |
| Hyper Olympic (bootleg)          |  Yes  |  Yes  |  Yes  |  Yes  | hyprolyb |
| Roc'n Rope                       |  Yes  |  Yes  |  Yes  |  Yes  | rocnrope |
| Roc'n Rope (Kosuka)              |  Yes  |  Yes  |  Yes  |  Yes  | rocnropk |
| Circus Charlie                   |  Yes  |  Yes  |  Yes  |  Yes  | circusc  |
| Circus Charlie (no level select) |  Yes  |  Yes  |  Yes  |  Yes  | circusc2 |
| Circus Charlie (Centuri)         |  Yes  |  Yes  |  Yes  |  Yes  | circuscc |
| Circus Charlie (Centuri, earlier)|  Yes  |  Yes  |  Yes  |  Yes  | circusce |
| Time Pilot '84 (set 1)           |  Yes  |  Yes  |  Yes  |   No  | tp84     |
| Time Pilot '84 (set 2)           |  Yes  |  Yes  |  Yes  |   No  | tp84a    |
| Hyper Sports                     |  Yes  |  Yes  |  Yes  |  Yes  | hyperspt |
| Hyper Olympics '84               |  Yes  |  Yes  |  Yes  |  Yes  | hpolym84 |
| Super Basketball                 |  Yes  |  Yes  |  Yes  |  Yes  | sbasketb |
| Mikie                            |  Yes  |  Yes  |  Yes  |  Yes  | mikie    |
| Shinnyuushain Tooru-kun          |  Yes  |  Yes  |  Yes  |  Yes  | mikiej   |
| Mikie (High School Graffiti)     |  Yes  |  Yes  |  Yes  |  Yes  | mikiehs  |
| Road Fighter (set 1)             |  Yes  |  Yes  |  Yes  |  Yes  | roadf    |
| Road Fighter (set 2)             |  Yes  |  Yes  |  Yes  |  Yes  | roadf2   |
| Yie Ar Kung-Fu (set 1)           |  Yes  |  Yes  |  Yes  |  Yes  | yiear    |
| Yie Ar Kung-Fu (set 2)           |  Yes  |  Yes  |  Yes  |  Yes  | yiear2   |
| Kicker                           |  Yes  |  Yes  |  Yes  |  Yes  | kicker   |
| Shao-Lin's Road                  |  Yes  |  Yes  |  Yes  |  Yes  | shaolins |
| Ping Pong                        |  Yes  |  Yes  |  Yes  |  Yes  | pingpong |
| Green Beret                      |  Yes  |  Yes  |  Yes  |  Yes  | gberet   |
| Rush'n Attack                    |  Yes  |  Yes  |  Yes  |  Yes  | rushatck |
| Green Beret (bootleg)            |  Yes  |  Yes  |  Yes  |  Yes  | gberetb  |
| Mr. Goemon (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | mrgoemon |
| Jail Break                       |  Yes  |  Yes  |  Yes  |   No  | jailbrek |
| Finalizer - Super Transformation |  Yes  |  Yes  |Partial|   No  | finalizr |
| Finalizer - Super Transformation |  Yes  |  Yes  |Partial|   No  | finalizb |
| Iron Horse                       |  Yes  |  Yes  |  Yes  |   No  | ironhors |
| Dai Ressya Goutou (Japan)        |  Yes  |  Yes  |  Yes  |   No  | dairesya |
| Far West                         | No(1) |  Yes  |  Yes  |   No  | farwest  |
| Jackal (World)                   |  Yes  | Close |  Yes  |   No  | jackal   |
| Top Gunner (US)                  |  Yes  | Close |  Yes  |   No  | topgunr  |
| Tokushu Butai Jackal (Japan)     |  Yes  | Close |  Yes  |   No  | jackalj  |
| Top Gunner (bootleg)             |  Yes  | Close |  Yes  |   No  | topgunbl |
| Double Dribble                   |  Yes  |  Yes  |  Yes  |  Yes  | ddribble |
| Contra (US)                      |  Yes  |  Yes  |  Yes  |  Yes  | contra   |
| Contra (US bootleg)              |  Yes  |  Yes  |  Yes  |  Yes  | contrab  |
| Contra (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | contraj  |
| Contra (Japan bootleg)           |  Yes  |  Yes  |  Yes  |  Yes  | contrajb |
| Gryzor                           |  Yes  |  Yes  |  Yes  |  Yes  | gryzor   |
| Combat School (joystick)         |  Yes  |  Yes  |  Yes  |  Yes  | combasc  |
| Combat School (trackball)        |  Yes  |  Yes  |  Yes  |  Yes  | combasct |
| Combat School (Japan trackball)  |  Yes  |  Yes  |  Yes  |  Yes  | combascj |
| Boot Camp                        |  Yes  |  Yes  |  Yes  |  Yes  | bootcamp |
| Combat School (bootleg)          |  Yes  | Close |  Yes  |  Yes  | combascb |
| Rock 'n Rage (World?)            |  Yes  |  Yes  |  Yes  |  Yes  | rockrage |
| Koi no Hotrock (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | rockragj |
| MX5000                           |  Yes  |  Yes  |  Yes  |  Yes  | mx5000   |
| Flak Attack (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | flkatck  |
| Fast Lane                        |   No  | Close |  Yes  |  Yes  | fastlane |
| Labyrinth Runner (Japan)         |   No  |  Yes  |  Yes  |  Yes  | labyrunr |
| Hustler, The (Japan version M)   |  Yes  |  Yes  |  Yes  |  Yes  | thehustl |
| Hustler, The (Japan version J)   |  Yes  |  Yes  |  Yes  |  Yes  | thehustj |
| Rack 'em Up                      |  Yes  |  Yes  |  Yes  |  Yes  | rackemup |
| Battlantis                       |  Yes  |  Yes  |  Yes  |  Yes  | battlnts |
| Battlantis (Japan)               |  Yes  |  Yes  |  Yes  |  Yes  | battlntj |
| Blades of Steel (version T)      |  Yes  |  Yes  |Partial|  Yes  | bladestl |
| Blades of Steel (version E)      |  Yes  |  Yes  |Partial|  Yes  | bladstle |
| Haunted Castle (set 1)           |  Yes  |  Yes  |  Yes  |   No  | hcastle  |
| Haunted Castle (set 2)           |  Yes  |  Yes  |  Yes  |   No  | hcastlea |
| Akuma-Jou Dracula (Japan)        |  Yes  |  Yes  |  Yes  |   No  | hcastlej |
| Ajax                             |  Yes  |  Yes  |  Yes  |  Yes  | ajax     |
| Ajax (Japan)                     |  Yes  |  Yes  |  Yes  |  Yes  | ajaxj    |
| Super Contra                     |  Yes  |  Yes  |  Yes  |  Yes  | scontra  |
| Super Contra (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | scontraj |
| Thunder Cross                    |  Yes  |  Yes  |  Yes  |  Yes  | thunderx |
| Thunder Cross (Japan)            |  Yes  |  Yes  |  Yes  |  Yes  | thnderxj |
| Main Event, The (version Y)      |  Yes  |  Yes  |  Yes  |  Yes  | mainevt  |
| Main Event, The (version F)      |  Yes  |  Yes  |  Yes  |  Yes  | mainevt2 |
| Ring no Ohja (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | ringohja |
| Devastators (version Z)          |  Yes  |  Yes  |  Yes  |  Yes  | devstors |
| Devastators (version X)          |  Yes  |  Yes  |  Yes  |  Yes  | devstor2 |
| Devastators (version V)          |  Yes  |  Yes  |  Yes  |  Yes  | devstor3 |
| Garuka (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | garuka   |
| '88 Games                        |  Yes  |  Yes  |  Yes  |  Yes  | 88games  |
| Konami '88                       |  Yes  |  Yes  |  Yes  |  Yes  | konami88 |
| Hyper Sports Special (Japan)     |  Yes  |  Yes  |  Yes  |  Yes  | hypsptsp |
| Gang Busters                     |  Yes  |  Yes  |  Yes  |  Yes  | gbusters |
| Crazy Cop (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | crazycop |
| Crime Fighters (US 4 players)    |  Yes  |  Yes  |  Yes  |  Yes  | crimfght |
| Crime Fighters (World 2 Players) |  Yes  |  Yes  |  Yes  |  Yes  | crimfgt2 |
| Crime Fighters (Japan 2 Players) |  Yes  |  Yes  |  Yes  |  Yes  | crimfgtj |
| S.P.Y. - Special Project Y (US)  |  Yes  |  Yes  |  Yes  |  Yes  | spy      |
| Bottom of the Ninth (version T)  |  Yes  |  Yes  |  Yes  |  Yes  | bottom9  |
| Bottom of the Ninth (version N)  |  Yes  |  Yes  |  Yes  |  Yes  | bottom9n |
| Block Hole                       |  Yes  |  Yes  |  Yes  |  Yes  | blockhl  |
| Quarth (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | quarth   |
| Aliens (World set 1)             |  Yes  |  Yes  |  Yes  |  Yes  | aliens   |
| Aliens (World set 2)             |  Yes  |  Yes  |  Yes  |  Yes  | aliens2  |
| Aliens (US)                      |  Yes  |  Yes  |  Yes  |  Yes  | aliensu  |
| Aliens (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | aliensj  |
| Surprise Attack (Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | surpratk |
| Parodius DA! (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | parodius |
| Rollergames (US)                 |  Yes  |  Yes  |  Yes  |  Yes  | rollerg  |
| Rollergames (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | rollergj |
| Simpsons, The (4 Players)        |  Yes  |  Yes  |  Yes  |  Yes  | simpsons |
| Simpsons, The (2 Players)        |  Yes  |  Yes  |  Yes  |  Yes  | simpsn2p |
| Simpsons, The (2 Players Japan)  |  Yes  |  Yes  |  Yes  |  Yes  | simps2pj |
| Vendetta (Asia set 1)            |  Yes  |  Yes  |  Yes  |  Yes  | vendetta |
| Vendetta (Asia set 2)            |  Yes  |  Yes  |  Yes  |  Yes  | vendett2 |
| Crime Fighters 2 (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | vendettj |
| WEC Le Mans 24                   |  Yes  |   No  |  Yes  |  Yes  | wecleman |
| Hot Chase                        |  Yes  |  Yes  |  Yes  |  Yes  | hotchase |
| Chequered Flag                   |  Yes  |  Yes  |  Yes  |  Yes  | chqflag  |
| Chequered Flag (Japan)           |  Yes  |  Yes  |  Yes  |  Yes  | chqflagj |
| Ultraman (Japan)                 |  Yes  |  Yes  |  Yes  |  Yes  | ultraman |
| Nemesis (hacked?)                |  Yes  |  Yes  |  Yes  |  Yes  | nemesis  |
| Nemesis (World?)                 |  Yes  |  Yes  |  Yes  |  Yes  | nemesuk  |
| Konami GT                        |  Yes  |  Yes  |  Yes  |  Yes  | konamigt |
| Salamander                       |  Yes  |  Yes  |  Yes  |  Yes  | salamand |
| Lifeforce (US)                   |  Yes  |  Yes  |  Yes  |  Yes  | lifefrce |
| Lifeforce (Japan)                |  Yes  |  Yes  |  Yes  |  Yes  | lifefrcj |
| Konami RF2 - Red Fighter         |  Yes  |  Yes  |  Yes  |  Yes  | rf2      |
| TwinBee                          |  Yes  |  Yes  |  Yes  |  Yes  | twinbee  |
| Gradius                          |  Yes  |  Yes  |  Yes  |  Yes  | gradius  |
| Galactic Warriors                |  Yes  |  Yes  |  Yes  |  Yes  | gwarrior |
| Devil World                      |  Yes  |  Yes  |  Yes  |  Yes  | devilw   |
| Dark Adventure                   |  Yes  |  Yes  |  Yes  |  Yes  | darkadv  |
| Majuu no Ohkoku                  |  Yes  |  Yes  |  Yes  |  Yes  | majuu    |
| Vulcan Venture                   |  Yes  |  Yes  |  Yes  |  Yes  | vulcan   |
| Gradius II - Gofer no Yabou (Japa|  Yes  |  Yes  |  Yes  |  Yes  | gradius2 |
| Gradius II - Gofer no Yabou (Japa|  Yes  |  Yes  |  Yes  |  Yes  | grdius2a |
| Gradius II - Gofer no Yabou (Japa|  Yes  |  Yes  |  Yes  |  Yes  | grdius2b |
| Cuebrick                         |  Yes  |  Yes  |  Yes  |  Yes  | cuebrick |
| Final Round                      |  Yes  |  Yes  |  Yes  |  Yes  | fround   |
| Hard Puncher (Japan)             |  Yes  |  Yes  |  Yes  |  Yes  | hpuncher |
| Missing in Action (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | miaj     |
| Gradius III (Japan)              |  Yes  |  Yes  |  Yes  |  Yes  | gradius3 |
| Gradius III (Asia)               |  Yes  |  Yes  |  Yes  |  Yes  | grdius3a |
| Missing in Action (version T)    |  Yes  |  Yes  |  Yes  |  Yes  | mia      |
| Missing in Action (version S)    |  Yes  |  Yes  |  Yes  |  Yes  | mia2     |
| Teenage Mutant Ninja Turtles (4 P|  Yes  |  Yes  |  Yes  |  Yes  | tmnt     |
| Teenage Mutant Hero Turtles (4 Pl|  Yes  |  Yes  |  Yes  |  Yes  | tmht     |
| Teenage Mutant Ninja Turtles (4 P|  Yes  |  Yes  |  Yes  |  Yes  | tmntj    |
| Teenage Mutant Hero Turtles (2 Pl|  Yes  |  Yes  |  Yes  |  Yes  | tmht2p   |
| Teenage Mutant Ninja Turtles (2 P|  Yes  |  Yes  |  Yes  |  Yes  | tmnt2pj  |
| Teenage Mutant Ninja Turtles (2 P|  Yes  |  Yes  |  Yes  |  Yes  | tmnt2po  |
| Punk Shot (4 Players)            |  Yes  |  Yes  |  Yes  |  Yes  | punkshot |
| Punk Shot (2 Players)            |  Yes  |  Yes  |  Yes  |  Yes  | punksht2 |
| Lightning Fighters (US)          |  Yes  |  Yes  |  Yes  |  Yes  | lgtnfght |
| Trigon (Japan)                   |  Yes  |  Yes  |  Yes  |  Yes  | trigon   |
| Bells & Whistles                 |  Yes  |  Yes  |  Yes  |  Yes  | blswhstl |
| Detana!! Twin Bee (Japan)        |  Yes  |  Yes  |  Yes  |  Yes  | detatwin |
| Teenage Mutant Ninja Turtles - Tu|  Yes  | Close |  Yes  |  Yes  | tmnt2    |
| Teenage Mutant Ninja Turtles - Tu|  Yes  | Close |  Yes  |  Yes  | tmnt22p  |
| Teenage Mutant Ninja Turtles - Tu|  Yes  | Close |  Yes  |  Yes  | tmnt2a   |
| Sunset Riders (World 4 Players ve|  Yes  |  Yes  |  Yes  |  Yes  | ssriders |
| Sunset Riders (World 2 Players ve|  Yes  |  Yes  |  Yes  |  Yes  | ssrdrebd |
| Sunset Riders (World 2 Players ve|  Yes  |  Yes  |  Yes  |  Yes  | ssrdrebc |
| Sunset Riders (US 4 Players ver. |  Yes  |  Yes  |  Yes  |  Yes  | ssrdruda |
| Sunset Riders (US 4 Players ver. |  Yes  |  Yes  |  Yes  |  Yes  | ssrdruac |
| Sunset Riders (US 2 Players ver. |  Yes  |  Yes  |  Yes  |  Yes  | ssrdrubc |
| Sunset Riders (Asia 2 Players ver|  Yes  |  Yes  |  Yes  |  Yes  | ssrdrabd |
| Sunset Riders (Japan 2 Players ve|  Yes  |  Yes  |  Yes  |  Yes  | ssrdrjbd |
| X-Men (4 Players)                |  Yes  |  Yes  |  Yes  |  Yes  | xmen     |
| X-Men (6 Players)                | No(1) |  Yes  |Partial|  Yes  | xmen6p   |
| X-Men (2 Players Japan)          |  Yes  |  Yes  |  Yes  |  Yes  | xmen2pj  |
| Thunder Cross II (Japan)         |  Yes  |  Yes  |  Yes  |  Yes  | thndrx2  |
| Side Track                       |  Yes  |  Yes  | Yes(2)|  Yes  | sidetrac |
| Targ                             |  Yes  |  Yes  | Yes(2)|  Yes  | targ     |
| Spectar (revision 3)             |  Yes  |  Yes  | Yes(2)|  Yes  | spectar  |
| Spectar (revision 1?)            |  Yes  |  Yes  | Yes(2)|  Yes  | spectar1 |
| Venture (version 5 set 1)        |  Yes  |  Yes  |  Yes  |  Yes  | venture  |
| Venture (version 5 set 2)        |  Yes  |  Yes  |  Yes  |  Yes  | venture2 |
| Venture (version 4)              |  Yes  |  Yes  |  Yes  |  Yes  | venture4 |
| Mouse Trap (version 5)           |  Yes  |  Yes  |  Yes  |  Yes  | mtrap    |
| Mouse Trap (version 3)           |  Yes  |  Yes  |  Yes  |  Yes  | mtrap3   |
| Mouse Trap (version 4)           |  Yes  |  Yes  |  Yes  |  Yes  | mtrap4   |
| Pepper II                        |  Yes  |  Yes  |  Yes  |  Yes  | pepper2  |
| Hard Hat                         |  Yes  |  Yes  |  Yes  |  Yes  | hardhat  |
| Fax                              |  Yes  |  Yes  |  Yes  |  Yes  | fax      |
| Circus                           |  Yes  |  Yes  |Partial|  Yes  | circus   |
| Robot Bowl                       |  Yes  |  Yes  |Partial|  Yes  | robotbwl |
| Crash                            |  Yes  |  Yes  |Partial|  Yes  | crash    |
| Rip Cord                         |   No  |  Yes  |  Yes  |  Yes  | ripcord  |
| Star Fire                        |  Yes  |  Yes  |   No  |  Yes  | starfire |
| Fire One                         |  Yes  |  Yes  |   No  |  Yes  | fireone  |
| Victory                          |  Yes  |  Yes  |  Yes  |  Yes  | victory  |
| Victor Banana                    |  Yes  |  Yes  |  Yes  |  Yes  | victorba |
| Crossbow (version 2.0)           |  Yes  |  Yes  |  Yes  |  Yes  | crossbow |
| Cheyenne (version 1.0)           |  Yes  |  Yes  |  Yes  |  Yes  | cheyenne |
| Combat (version 3.0)             |  Yes  |  Yes  |  Yes  |  Yes  | combat   |
| Crackshot (version 2.0)          |  Yes  |  Yes  |  Yes  |  Yes  | cracksht |
| Clay Pigeon (version 2.0)        |  Yes  |  Yes  |  Yes  |  Yes  | claypign |
| Chiller (version 3.0)            |  Yes  |  Yes  |  Yes  |  Yes  | chiller  |
| Top Secret (Exidy) (version 1.0) |  Yes  |  Yes  |  Yes  |  Yes  | topsecex |
| Hit 'n Miss (version 3.0)        |  Yes  |  Yes  |  Yes  |  Yes  | hitnmiss |
| Hit 'n Miss (version 2.0)        |  Yes  |  Yes  |  Yes  |  Yes  | hitnmis2 |
| Who Dunit (version 8.0)          |  Yes  |  Yes  |  Yes  |  Yes  | whodunit |
| Showdown (version 5.0)           |  Yes  |  Yes  |  Yes  |  Yes  | showdown |
| Asteroids (rev 2)                |  Yes  |  Yes  |  Yes  |  Yes  | asteroid |
| Asteroids (rev 1)                |  Yes  |  Yes  |  Yes  |  Yes  | asteroi1 |
| Asteroids (bootleg on Lunar Lande|  Yes  |  Yes  |  Yes  |  Yes  | asteroib |
| Asteroids Deluxe (rev 2)         |  Yes  |  Yes  |  Yes  |  Yes  | astdelux |
| Asteroids Deluxe (rev 1)         |  Yes  |  Yes  |  Yes  |  Yes  | astdelu1 |
| Black Widow                      |  Yes  |  Yes  |  Yes  |  Yes  | bwidow   |
| Battle Zone (set 1)              |  Yes  |  Yes  |  Yes  |  Yes  | bzone    |
| Battle Zone (set 2)              |  Yes  |  Yes  |  Yes  |  Yes  | bzone2   |
| Gravitar (version 3)             |  Yes  |  Yes  |  Yes  |  Yes  | gravitar |
| Gravitar (version 2)             |  Yes  |  Yes  |  Yes  |  Yes  | gravitr2 |
| Lunar Lander (rev 2)             |  Yes  |  Yes  |  Yes  |  Yes  | llander  |
| Lunar Lander (rev 1)             |  Yes  |  Yes  |  Yes  |  Yes  | llander1 |
| Red Baron                        |  Yes  |  Yes  |  Yes  |  Yes  | redbaron |
| Space Duel                       |  Yes  |  Yes  |  Yes  |  Yes  | spacduel |
| Tempest (rev 3)                  |  Yes  |  Yes  |  Yes  |  Yes  | tempest  |
| Tempest (rev 1)                  |  Yes  |  Yes  |  Yes  |  Yes  | tempest1 |
| Tempest (rev 2)                  |  Yes  |  Yes  |  Yes  |  Yes  | tempest2 |
| Tempest Tubes                    |  Yes  |  Yes  |  Yes  |  Yes  | temptube |
| Star Wars (rev 2)                |  Yes  |  Yes  |  Yes  |  Yes  | starwars |
| Star Wars (rev 1)                |  Yes  |  Yes  |  Yes  |  Yes  | starwar1 |
| Empire Strikes Back, The         |  Yes  |  Yes  |  Yes  |  Yes  | esb      |
| Major Havoc (rev 3)              |  Yes  |  Yes  |  Yes  |  Yes  | mhavoc   |
| Major Havoc (rev 2)              |  Yes  |  Yes  |  Yes  |  Yes  | mhavoc2  |
| Major Havoc (prototype)          |  Yes  |  Yes  |  Yes  |  Yes  | mhavocp  |
| Major Havoc (Return to Vax)      |  Yes  |  Yes  |  Yes  |  Yes  | mhavocrv |
| Quantum (rev 2)                  |  Yes  |   No  |  Yes  |  Yes  | quantum  |
| Quantum (rev 1)                  |  Yes  |   No  |  Yes  |  Yes  | quantum1 |
| Quantum (prototype)              |  Yes  |   No  |  Yes  |  Yes  | quantump |
| Sprint 1                         |  Yes  |  Yes  |   No  |  Yes  | sprint1  |
| Sprint 2                         |  Yes  |  Yes  |   No  |  Yes  | sprint2  |
| Super Breakout                   |  Yes  |  Yes  |  Yes  |  Yes  | sbrkout  |
| Dominos                          |  Yes  |  Yes  |   No  |  Yes  | dominos  |
| Night Driver                     |  Yes  |  Yes  |   No  |  Yes  | nitedrvr |
| Basketball                       |  Yes  |  Yes  |  Yes  |  Yes  | bsktball |
| Cops'n Robbers                   |  Yes  |  Yes  |   No  |  Yes  | copsnrob |
| Avalanche                        |  Yes  |  Yes  |  Yes  |  Yes  | avalnche |
| Subs                             |  Yes  |  Yes  |   No  |  Yes  | subs     |
| Atari Football (revision 2)      |  Yes  |  Yes  |  Yes  |  Yes  | atarifb  |
| Atari Football (revision 1)      |  Yes  |  Yes  |  Yes  |  Yes  | atarifb1 |
| Atari Football (4 players)       |  Yes  |  Yes  |  Yes  |  Yes  | atarifb4 |
| Atari Baseball (set 1)           |  Yes  |  Yes  |  Yes  |  Yes  | abaseb   |
| Atari Baseball (set 2)           |  Yes  |  Yes  |  Yes  |  Yes  | abaseb2  |
| Atari Soccer                     |  Yes  |  Yes  |  Yes  |  Yes  | soccer   |
| Canyon Bomber                    |  Yes  |  Yes  |  Yes  |  Yes  | canyon   |
| Canyon Bomber (prototype)        |  Yes  |  Yes  |  Yes  |  Yes  | canbprot |
| Sky Diver                        |  Yes  |  Yes  |  Yes  |  Yes  | skydiver |
| Warlords                         |  Yes  |  Yes  |  Yes  |  Yes  | warlord  |
| Centipede (revision 3)           |  Yes  |  Yes  |  Yes  |  Yes  | centiped |
| Centipede (revision 2)           |  Yes  |  Yes  |  Yes  |  Yes  | centipd2 |
| Centipede (bootleg set 1)        |  Yes  |  Yes  |  Yes  |  Yes  | centipdb |
| Centipede (bootleg set 2)        |  Yes  |  Yes  |  Yes  |  Yes  | centipb2 |
| Millipede                        |  Yes  |  Yes  |  Yes  |  Yes  | milliped |
| Qwak (prototype)                 |  Yes  |  Yes  |  Yes  |   No  | qwakprot |
| Funky Fish                       |  Yes  |  Yes  |  Yes  |  Yes  | fnkyfish |
| Kangaroo                         |  Yes  |  Yes  |  Yes  |  Yes  | kangaroo |
| Kangaroo (Atari)                 |  Yes  |  Yes  |  Yes  |  Yes  | kangaroa |
| Kangaroo (bootleg)               |  Yes  |  Yes  |  Yes  |  Yes  | kangarob |
| Arabian                          |  Yes  |  Yes  |  Yes  |  Yes  | arabian  |
| Arabian (Atari)                  |  Yes  |  Yes  |  Yes  |  Yes  | arabiana |
| Missile Command (set 1)          |  Yes  |  Yes  |  Yes  |  Yes  | missile  |
| Missile Command (set 2)          |  Yes  |  Yes  |  Yes  |  Yes  | missile2 |
| Super Missile Attack             |  Yes  |  Yes  |  Yes  |  Yes  | suprmatk |
| Food Fight                       |  Yes  |  Yes  |  Yes  |   No  | foodf    |
| Liberator (set 1)                |  Yes  |  Yes  |  Yes  |   No  | liberatr |
| Crystal Castles (set 1)          |  Yes  |  Yes  |  Yes  |  Yes  | ccastles |
| Crystal Castles (set 2)          |  Yes  |  Yes  |  Yes  |  Yes  | ccastle2 |
| Cloak & Dagger                   |  Yes  |  Yes  |  Yes  |   No  | cloak    |
| Cloud 9 (prototype)              |  Yes  |  Yes  |  Yes  |   No  | cloud9   |
| Return of the Jedi               |  Yes  |  Yes  |  Yes  |   No  | jedi     |
| Marble Madness (set 1)           |  Yes  |  Yes  |  Yes  |  Yes  | marble   |
| Marble Madness (set 2)           |  Yes  |  Yes  |  Yes  |  Yes  | marble2  |
| Marble Madness (set 3)           |  Yes  |  Yes  |  Yes  |  Yes  | marblea  |
| Peter Pack-Rat                   |  Yes  |  Yes  |  Yes  |  Yes  | peterpak |
| Indiana Jones and the Temple of D|  Yes  |  Yes  |  Yes  |  Yes  | indytemp |
| Indiana Jones and the Temple of D|  Yes  |  Yes  |  Yes  |  Yes  | indytem2 |
| Indiana Jones and the Temple of D|  Yes  |  Yes  |  Yes  |  Yes  | indytem3 |
| Indiana Jones and the Temple of D|  Yes  |  Yes  |  Yes  |  Yes  | indytem4 |
| Road Runner                      |  Yes  |  Yes  |  Yes  |  Yes  | roadrunn |
| Road Blasters                    |  Yes  |  Yes  |  Yes  |  Yes  | roadblst |
| Paperboy                         |  Yes  |  Yes  |  Yes  |  Yes  | paperboy |
| Super Sprint                     |  Yes  |  Yes  |  Yes  |  Yes  | ssprint  |
| Championship Sprint              |  Yes  |  Yes  |  Yes  |  Yes  | csprint  |
| 720 Degrees (set 1)              |  Yes  |  Yes  |  Yes  |  Yes  | 720      |
| 720 Degrees (set 2)              |  Yes  |  Yes  |  Yes  |  Yes  | 720b     |
| APB - All Points Bulletin (set 1)|  Yes  |  Yes  |  Yes  |  Yes  | apb      |
| APB - All Points Bulletin (set 2)|  Yes  |  Yes  |  Yes  |  Yes  | apb2     |
| Gauntlet                         |  Yes  |  Yes  |  Yes  |  Yes  | gauntlet |
| Gauntlet (Intermediate Release 1)|  Yes  |  Yes  |  Yes  |  Yes  | gauntir1 |
| Gauntlet (Intermediate Release 2)|  Yes  |  Yes  |  Yes  |  Yes  | gauntir2 |
| Gauntlet (2 Players)             |  Yes  |  Yes  |  Yes  |  Yes  | gaunt2p  |
| Gauntlet II                      |  Yes  |  Yes  |  Yes  |  Yes  | gaunt2   |
| Vindicators Part II              |  Yes  |  Yes  |  Yes  |  Yes  | vindctr2 |
| Tetris (set 1)                   |  Yes  |  Yes  |  Yes  |  Yes  | atetris  |
| Tetris (set 2)                   |  Yes  |  Yes  |  Yes  |  Yes  | atetrisa |
| Tetris (bootleg)                 |  Yes  |  Yes  |  Yes  |  Yes  | atetrisb |
| Tetris (Cocktail set 1)          |  Yes  |  Yes  |  Yes  |  Yes  | atetcktl |
| Tetris (Cocktail set 2)          |  Yes  |  Yes  |  Yes  |  Yes  | atetckt2 |
| Toobin' (version 3)              |  Yes  |  Yes  |  Yes  |  Yes  | toobin   |
| Toobin' (version 2)              |  Yes  |  Yes  |  Yes  |  Yes  | toobin2  |
| Toobin' (Prototype)              |  Yes  |  Yes  |  Yes  |  Yes  | toobinp  |
| Vindicators                      |  Yes  |  Yes  |  Yes  |  Yes  | vindictr |
| Klax (set 1)                     |  Yes  |  Yes  |  Yes  |  Yes  | klax     |
